1;3;Большой экран, приятный внешний вид.
0;3;Нестабилен в работе
0;3;Телефон неплох. Но после года использования начал постоянно глючить. Слетали приложения. В конце концов просто перестал воспроизводить медиа файлы и внимание  принимать и отправлять звонки. Настроить ничего было не возможно. Перепрошили в сц. Через месяц история повторяется, перепрошили. И вот опять, но даже месяца не прошло.
1;3;Яркий и красочный экран
0;3;Программное обеспечение
0;3;Начнем с хорошего: 1. Это экран, который я упомянула в достоинствах. IPS матрица дарит пользователю картинку, качество которой мало отличается от айфона.  2. Батарея. С постоянно включенным 3G хватает больше, чем на сутки.  3. Камера. Камера действительно четкая даже в темноте.  4. Вес. Очень легкий телефончик.  Плохое: 1. Очень глючный. Тормозить стал примерно через пару месяцев после начала использования. В настоящий момент не открывается галерея даже. Надо нести на перепрошивку, но только телефон был подарен и чеков сейчас не сохранилось, будем пробовать сами.
1;5;хооршая камера емкий аккумулятор возможность получения суперюзера ips экран
0;5;спустя год использования начинает нехватать встроенной памяти
1;5;отличная вещь. купил и себе и родственнику. нормально работает. советую. добавил софта с 4pda. часть взял с маркета.
1;3;1) Хороший аккумулятор 2) GPS практически не расходует заряд аккумулятора 3) Большой яркий экран 4) Быстрый
0;3;1) Все приложения ставятся на внутреннюю память, её катастрофически мало. 2) В Android 4.4 запрещен полный доступ приложений к SDкарте. Соответственно, имеем проблемы на ровном месте, например, с файл менеджером, который не может скопировать файлы на флешку. 3) Android 4.4 запрещает сторонним приложениям переводить телефон в режим Самолёта. Соответственно, приложения, которые, например, на ночь выключают беспроводные модули  больше не работают. 4) Невозможность поставить приложения больше 1 гб, т.к. телефон принципиально всё пишет во внутреннюю память.
0;3;Телефон прекрасный, если бы не заморочки последнего Андройда 4.4 нацеленные на безопасность. Пришлось ставить root. Этим я победил защиту флешки от приложений. Далее проблема с установкой всех приложений во внутреннюю память. Память закончилась мгновенно, после одной установленной игры. Вторая устанавливаться отказалась, т.к. просто больше чем весь объём внутренней памяти. До этого телефона пользовался первым Samsung Galaxy S, с ним никаких подобных проблем не было, памяти хватало на всё, телефон по умолчанию ставил приложения на флешку, мне не требовался root.  Почему я буду дальше пользоваться LG L80? Прекрасный GPS модуль, практически не сажающий аккумулятор, если выключить экран и записывать трек его хватает на долго.  Дополнение после года использование: значит телефон всё ещё жив, хотя упал на плитку и треснуло стекло внизу экрана, проблема с памятью сильно мешала, приходилось всё больше и чаще удалять приложения/данные. Дошел до того, что телефоном нельзя нормально пользоваться  нет памяти. Уже смотрел новые телефоны, не LG, но друг посоветовал попробовать программу, которая переносит приложения на флешкарту (в маркете их несколько), для этого на флешке делается раздел отформатированный в extfs, а телефон нужно рутовать. Операция прошла успешно и теперь память почти вся свободна, а приложения полностью на флешке. Для лучшего понимания уточню  штатная фунциональность по переносу приложений на флешку копирует только часть приложения и по сути никак не помогало.
1;4;Экран, аккумулятор, качество
0;4;Слабенькая камера, отсутствие подсветки меню на самой панели
1;4;Пользуюсь уже почти год. Изначально была недовольна покупкой. Гдето долго соображает, камера конечно не заменит фотоаппарат. Но мое мнение стало меняться в положит. сторону за последние 5 мес. Телефон сделан честно. Я его роняла раз 5, об кафель. Все норм. с ним. Ни разу не глючил!!! Два дня назад уронила его на улице, в снег, всю ночь(!) шел дождь. Нашла его на след. день, в рассыпанном виде, мокрым, грязным. Под краном его ополоснула быстренько, ибо терять уже было нечего, положила в рис)))) В общем, пишу комментарий с этого телефона. Все с ним хорошо, все работает!!!
1;5;Их много: и цена, и юзабельность, и внешний вид. Ничего не лагает и не тормозит, 3G работает намного быстрее, чем на ведроиде 2.2. Не люблю играть на телефоне, это все же рабочий инструмент, но сравнительно новые игры идут нормально. Спутники тоже довольно быстро ловятся.
0;5;"Менюшки какието не очень, местами напоминают поднебесную ""ноклу"") Благо, лечится это легко и непринужденно. Камера немного хуже, чем на том же галакси эйс. При открытии фирменного чехла иногда не реагирует (1 к 50 гдето). Иногда нужно перезагружать, чтобы врубить 3G (раз в месяц такая бага)"
1;5;"Откуда ""23 дня работы"", ""день в активном режиме""? Отрубайте передачу данных, и будет вам щясте дней на пять))"
1;4;Удобная, простая в обращении модель
0;4;Плохо реагирует на освященность.
1;4;Пользовался чуть менее года, привык, обращался очень бережно и вдруг не с того ни с сего сдох сенсорный экран, перестал реагироваль! Отдал в ремонт по гарантии жду четвертую неделю.
1;1;сложно сказать о достоинствах данного аппарата, на мой взгляд их нет
0;1;их много..описываю ниже, читайте
0;1;Покупалось 2 аппарата LG L70 и L80 за год пользования этими телефонами..скажу следующее: 3 раза менялась сенсорная панель, сеть пропадает периодически и тел требует перезапуска. Мало внутренней памяти, слабо держит батарею, в целом кошмарный аппарат, никогда больше не куплю телефон LG ценовая категория не низкая, согласитесь...так будьте добры следите за качеством телефонов! Скажу больше...он даром не нужен
1;4;В принципе очень хороший телефон, и андроид клевый, кит кат, скоро выйдет на него 5й лоллипоп, я его жду, в прочем и камера не плохая, тормозит только изза того что память заполняется кешем и прочим мусором, но клин мастер спасает, удобно 2 симки, удобная кновка их переключения, есть клук он и клук код тоже замечательные штуки, теперь я спокойна за свою личную информацию, и батарейка достаточно емкасная 2540 мАч, если чисто заходить по делу смотреть инфу то заряда на 2 дня хватит и если муз слушать с зарядкой 5% хватило на 2 часа., камера 5мп и есть автофокус. Но порой приходиться фокус ручной ставить т.е. автофокус дальние расстояния иногда не берет и сильно сближает в итоге фото получается мутные. И какие то неожиданные фото особенно вечером сложно сделать получаются смазанными, от этого пропускаю какойто момент важный.
0;4;Оценка 4 только изза памяти 4 гига конечно выглядит круто, но если учесть что большую часть занимают приложения типа от гугл, которые удалить только рутом можно.  Но захламлять рутами и прошивать не хочу. И есть еще ряд приложений которые не перемещаются, в этом и проблема, что сейчас у меня программ по минимуму, игры только 3 самые простые и свободной памяти 400 мб осталось. Сиди карта помогает хранить только видео и фото и прочие файлы, но приложения переместь сложно.
1;4;В принципе телефон мне очень нравиться, стоит того что я купила. Хотя сейчас цена снизилась, а за ту сумму что я брала есть с памятью 8 гигов, lg l90, в общем такойжено камера чуть лучше и и пямять.
1;4;Экран большой, удобно  носить с собой.
0;4;ОЧЕНЬ мало памяти
1;4;Памяти жаль мало, а так бы вообще perfect. Жаль...Очень жаль..
1;5;Цена,скорость работы, батарея, ударопрочность, надежность, быстродействие.
0;5;Мало внутренней памяти.
1;5;Телефон своиз денег стоит.пользуюсь год, менять не планирую.все устраивает.ношу в кармане с ключами нет ни одной царапины на экране. Камера слабовата. Мало памяти.
1;4;Адекватный сенсор, не тупит удар при падении держит.Аккумулятор одна из причин по которым был куплен телефон держит несколько дней,  зарядка быстрая пару часов. Звук вполне нормальный не громкий не приглушенный. Люфтов нигде нету после полугода эксплуатации. Камера среднячок. 2 Сим карты, для разговоров самое то.
0;4;1. Андроид 4.4  на карту памяти приложения не поставишь. Внутренняя память маленькая.  2. Нет поддержки 4G, да и 3G то не всегда берет.
1;4;Телефон для связи, без изысков. С минимумом необходимых программ (сбербанк,читалка, АМП пауэр) в целом достаточно надежен.
1;5;Цена, дизайн, большой экран, две симки
